match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981465,Juventus,Home,67,1.59,2.0,24,1,14,6,600,13,7,0.0,10,1,6,8,14,10,1.0,1.0,39,3.0,1.0,537,19,60,150,39,12,57,3,34,12,14,4,4,52,9,1.0,-0.2233,0.0,0.0,,8,1.0,,0.0,
13981465,Atalanta,Away,33,0.73,1.0,12,9,5,7,299,12,6,3.0,2,0,7,3,7,5,0.0,1.0,12,0.0,0.0,235,9,28,44,16,5,43,5,24,11,6,5,9,54,40,1.0,1.8311,3.0,2.0,,8,1.0,,1.0,
13981469,Roma,Home,57,0.95,2.0,10,3,8,11,432,16,19,0.0,5,0,2,3,6,4,1.0,1.0,16,3.0,0.0,315,26,49,73,16,4,48,9,33,25,0,6,7,57,25,2.0,0.4876,1.0,1.0,0.0,9,,,,
13981469,Hellas Verona,Away,43,1.38,2.0,12,3,1,19,320,18,11,4.0,3,1,6,3,6,6,0.0,2.0,18,3.0,2.0,217,23,66,72,15,7,52,8,38,24,9,8,15,60,27,0.0,0.2274,0.0,0.0,2.0,6,,,,
13981468,Lecce,Home,33,1.8,4.0,12,3,3,13,252,21,13,4.0,4,3,5,3,10,2,2.0,2.0,23,2.0,1.0,166,16,48,30,26,5,53,9,37,23,7,17,5,39,18,1.0,-0.3356,2.0,0.0,1.0,8,,,,
13981468,Bologna,Away,67,1.37,2.0,14,2,9,13,517,14,12,2.0,5,0,3,6,9,5,1.0,1.0,25,2.0,4.0,442,18,67,87,23,4,47,13,36,17,11,9,5,50,21,1.0,-0.5227,1.0,1.0,0.0,6,,,,
13981467,Pisa,Home,39,0.8,,11,2,4,15,230,29,15,0.0,1,2,7,3,9,2,,,19,2.0,1.0,162,16,39,43,16,4,52,14,50,16,6,16,7,40,29,0.0,0.291,,1.0,,8,,,,
13981467,Fiorentina,Away,61,0.89,,14,1,6,15,385,26,15,1.0,2,0,7,5,8,6,,,27,1.0,5.0,315,19,48,55,25,3,48,21,45,17,6,9,5,36,20,1.0,0.0396,,1.0,,10,,,,
13981459,Cagliari,Home,42,0.18,1.0,6,3,4,13,374,12,14,0.0,0,1,4,2,5,1,0.0,1.0,10,2.0,1.0,301,23,50,59,27,4,49,8,32,9,7,7,17,40,17,1.0,0.2575,1.0,1.0,,14,,,,
13981459,Inter,Away,58,2.82,7.0,20,0,4,14,537,11,13,2.0,5,2,11,4,15,5,2.0,5.0,38,2.0,2.0,453,15,64,138,30,7,51,6,31,11,7,8,8,55,20,0.0,0.0,0.0,0.0,,7,,,,
13981466,Parma,Home,37,1.34,2.0,13,3,4,10,270,15,11,3.0,2,0,7,4,6,7,2.0,,12,4.0,1.0,195,16,54,41,17,4,48,13,26,23,2,9,5,47,31,0.0,-0.0642,1.0,2.0,2.0,6,,,,
13981466,Torino,Away,63,0.76,0.0,15,1,3,12,442,16,10,3.0,4,0,3,8,8,7,0.0,,39,1.0,1.0,363,18,56,92,25,8,52,7,31,22,7,10,6,47,28,2.0,-1.2021,1.0,0.0,2.0,6,,,,
13981483,Atalanta,Home,51,1.4,3.0,16,3,8,10,457,19,19,1.0,4,0,5,7,8,8,,3.0,37,6.0,2.0,391,12,44,81,24,2,52,14,48,5,11,7,9,51,15,1.0,0.1428,1.0,0.0,1.0,5,1.0,2.0,,
13981483,Como,Away,49,1.32,1.0,12,2,3,19,460,18,10,3.0,4,0,4,4,8,4,,1.0,21,1.0,1.0,389,7,33,53,13,3,48,13,32,17,6,11,10,55,38,1.0,-0.3889,0.0,1.0,2.0,5,0.0,0.0,,
13981473,Lazio,Home,49,1.35,2.0,9,5,3,13,411,19,21,3.0,4,0,3,2,4,5,2.0,0.0,21,2.0,1.0,333,20,49,62,25,3,59,4,49,13,10,14,13,43,20,1.0,0.8352,2.0,0.0,2.0,9,,1.0,,
13981473,Torino,Away,51,1.76,4.0,16,1,5,22,425,12,13,3.0,8,0,7,1,10,6,3.0,1.0,22,2.0,1.0,352,23,50,66,20,5,41,13,30,13,6,3,11,47,24,1.0,-1.3717,0.0,1.0,0.0,5,,0.0,,
13981475,Inter,Home,66,3.57,11.0,27,1,13,9,595,12,8,1.0,9,0,12,6,16,11,3.0,8.0,44,1.0,4.0,525,20,60,163,25,14,49,9,23,10,3,6,10,43,17,,-0.6214,0.0,,0.0,5,0.0,2.0,,
